"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"149","Isaac Guerendo",SF,"RB56","4 out of 5 stars","4 out of 5 stars","+106"
"150","T.J. Hockenson",MIN,"TE15","3 out of 5 stars","4 out of 5 stars","-26"
"151","Ty Chandler",MIN,"RB57","3 out of 5 stars","4 out of 5 stars","-18"
"152","Pittsburgh Steelers",PIT,"DST1","2 out of 5 stars","1 out of 5 stars","+34"
"153","DeMario Douglas",NE,"WR58","4 out of 5 stars","5 out of 5 stars","+38"
"154","Dontayvion Wicks",GB,"WR59","2 out of 5 stars","3 out of 5 stars","-1"
"155","Rashod Bateman",BAL,"WR60","3 out of 5 stars","3 out of 5 stars","+69"
"156","Cole Kmet",CHI,"TE16","4 out of 5 stars","4 out of 5 stars","-24"
"157","Jalen Tolbert",DAL,"WR61","2 out of 5 stars","2 out of 5 stars","+97"
"158","Kansas City Chiefs",KC,"DST2","4 out of 5 stars","3 out of 5 stars","+42"
"159","Hunter Henry",NE,"TE17","2 out of 5 stars","2 out of 5 stars","+24"
"160","Elijah Moore",CLE,"WR62","3 out of 5 stars","3 out of 5 stars","+136"
"161","Detroit Lions",DET,"DST3","1 out of 5 stars","1 out of 5 stars","+88"
"162","Demarcus Robinson",LAR,"WR63","3 out of 5 stars","3 out of 5 stars","+83"
"163","Cam Akers",MIN,"RB58","3 out of 5 stars","4 out of 5 stars","+101"
"164","Antonio Gibson",NE,"RB59","3 out of 5 stars","2 out of 5 stars","-14"
"165","Brandon Aubrey",DAL,"K1","3 out of 5 stars","4 out of 5 stars","-34"
"166","Audric Estime",DEN,"RB60","2 out of 5 stars","1 out of 5 stars","+45"
"167","Mike Gesicki",CIN,"TE18","2 out of 5 stars","2 out of 5 stars","+74"
"168","Dallas Goedert",PHI,"TE19","4 out of 5 stars","4 out of 5 stars","-51"
"169","Jalen Coker",CAR,"WR64","3 out of 5 stars","4 out of 5 stars","-"
"170","Russell Wilson",PIT,"QB23","4 out of 5 stars","2 out of 5 stars","+33"
"171","San Francisco 49ers",SF,"DST4","1 out of 5 stars","2 out of 5 stars","-16"
"172","Chicago Bears",CHI,"DST5","1 out of 5 stars","1 out of 5 stars","+91"
"173","Dak Prescott",DAL,"QB24","4 out of 5 stars","4 out of 5 stars","-95"
"174","New York Jets",NYJ,"DST6","1 out of 5 stars","1 out of 5 stars","-20"
"175","Justin Tucker",BAL,"K2","1 out of 5 stars","3 out of 5 stars","-39"
"176","Khalil Herbert",CIN,"RB61","2 out of 5 stars","3 out of 5 stars","+1"
"177","Joshua Palmer",LAC,"WR65","3 out of 5 stars","4 out of 5 stars","-47"
"178","Darius Slayton",NYG,"WR66","4 out of 5 stars","4 out of 5 stars","+100"
"179","Emanuel Wilson",GB,"RB62","4 out of 5 stars","4 out of 5 stars","+147"
"180","Alec Pierce",IND,"WR67","3 out of 5 stars","3 out of 5 stars","+150"
"181","Michael Wilson",ARI,"WR68","3 out of 5 stars","3 out of 5 stars","-8"
"182","Drake Maye",NE,"QB25","3 out of 5 stars","3 out of 5 stars","+20"
"183","Cleveland Browns",CLE,"DST7","4 out of 5 stars","4 out of 5 stars","-1"
"184","Harrison Butker",KC,"K3","2 out of 5 stars","2 out of 5 stars","-41"
"185","Los Angeles Chargers",LAC,"DST8","3 out of 5 stars","4 out of 5 stars","+139"
"186","Philadelphia Eagles",PHI,"DST9","0 out of 5 stars","1 out of 5 stars","+26"
"187","Mike Williams",PIT,"WR69","3 out of 5 stars","3 out of 5 stars","-45"
"188","Zach Ertz",WAS,"TE20","3 out of 5 stars","3 out of 5 stars","+64"
"189","Daniel Jones",NYG,"QB26","5 out of 5 stars","4 out of 5 stars","+10"
"190","Zamir White",LV,"RB63","3 out of 5 stars","4 out of 5 stars","-122"
"191","Younghoe Koo",ATL,"K4","2 out of 5 stars","4 out of 5 stars","-21"
"192","Trevor Lawrence",JAC,"QB27","2 out of 5 stars","2 out of 5 stars","-70"
"193","Trey Sermon",IND,"RB64","3 out of 5 stars","2 out of 5 stars","+60"
"194","Tyler Goodson",IND,"RB65","3 out of 5 stars","2 out of 5 stars","-"
"195","Denver Broncos",DEN,"DST10","4 out of 5 stars","3 out of 5 stars","+100"
"196","Buffalo Bills",BUF,"DST11","1 out of 5 stars","2 out of 5 stars","+10"
"197","Ka'imi Fairbairn",HOU,"K5","4 out of 5 stars","4 out of 5 stars","-38"
"198","Minnesota Vikings",MIN,"DST12","3 out of 5 stars","2 out of 5 stars","+77"
"199","Houston Texans",HOU,"DST13","3 out of 5 stars","3 out of 5 stars","+20"
"200","Jake Elliott",PHI,"K6","3 out of 5 stars","2 out of 5 stars","-34"
"201","Jonnu Smith",MIA,"TE21","3 out of 5 stars","2 out of 5 stars","+17"
"202","Troy Franklin",DEN,"WR70","4 out of 5 stars","4 out of 5 stars","+3"
"203","Pat Freiermuth",PIT,"TE22","1 out of 5 stars","2 out of 5 stars","-74"
"204","Gus Edwards",LAC,"RB66","2 out of 5 stars","3 out of 5 stars","-90"
"205","Green Bay Packers",GB,"DST14","3 out of 5 stars","4 out of 5 stars","+66"
"206","JuJu Smith-Schuster",KC,"WR71","4 out of 5 stars","3 out of 5 stars","-"
"207","Evan McPherson",CIN,"K7","2 out of 5 stars","3 out of 5 stars","-29"
"208","Sterling Shepard",TB,"WR72","4 out of 5 stars","3 out of 5 stars","-"
"209","Austin Seibert",WAS,"K8","4 out of 5 stars","5 out of 5 stars","-"
"210","Ty Johnson",BUF,"RB67","2 out of 5 stars","3 out of 5 stars","-"
"211","Ray-Ray McCloud III",ATL,"WR73","4 out of 5 stars","4 out of 5 stars","-"
"212","Joe Flacco",IND,"QB28","2 out of 5 stars","3 out of 5 stars","+68"
"213","Noah Brown",WAS,"WR74","2 out of 5 stars","3 out of 5 stars","+102"
"214","Allen Lazard",NYJ,"WR75","4 out of 5 stars","3 out of 5 stars","-"
"215","D'Ernest Johnson",JAC,"RB68","2 out of 5 stars","3 out of 5 stars","-"
"216","Dameon Pierce",HOU,"RB69","3 out of 5 stars","3 out of 5 stars","-2"
"217","Gabe Davis",JAC,"WR76","2 out of 5 stars","2 out of 5 stars","-70"
"218","Ezekiel Elliott",DAL,"RB70","4 out of 5 stars","4 out of 5 stars","-105"
"219","MarShawn Lloyd",GB,"RB71","4 out of 5 stars","4 out of 5 stars","-70"
"220","Chris Boswell",PIT,"K9","2 out of 5 stars","2 out of 5 stars","-"
"221","New Orleans Saints",NO,"DST15","4 out of 5 stars","3 out of 5 stars","+8"
"222","Kendre Miller",NO,"RB72","4 out of 5 stars","5 out of 5 stars","-2"
"223","Samaje Perine",KC,"RB73","3 out of 5 stars","2 out of 5 stars","+16"
"224","Dalton Schultz",HOU,"TE23","3 out of 5 stars","2 out of 5 stars","-98"
"225","Jason Sanders",MIA,"K10","4 out of 5 stars","3 out of 5 stars","-40"
"226","Adam Thielen",CAR,"WR77","3 out of 5 stars","4 out of 5 stars","-66"
"227","Cameron Dicker",LAC,"K11","4 out of 5 stars","3 out of 5 stars","-43"
"228","D'Onta Foreman",CLE,"RB74","3 out of 5 stars","3 out of 5 stars","+40"
"229","Seattle Seahawks",SEA,"DST16","0 out of 5 stars","3 out of 5 stars","+8"
"230","Tutu Atwell",LAR,"WR78","3 out of 5 stars","3 out of 5 stars","-"
"231","Tre Tucker",LV,"WR79","4 out of 5 stars","4 out of 5 stars","+74"
"232","Derek Carr",NO,"QB29","4 out of 5 stars","4 out of 5 stars","-36"
"233","Tyler Bass",BUF,"K12","4 out of 5 stars","4 out of 5 stars","-43"
"234","Sean Tucker",TB,"RB75","5 out of 5 stars","4 out of 5 stars","-"
"235","Andrei Iosivas",CIN,"WR80","3 out of 5 stars","3 out of 5 stars","+39"
"236","Jason Myers",SEA,"K13","3 out of 5 stars","1 out of 5 stars","-28"
"237","Miles Sanders",CAR,"RB76","2 out of 5 stars","3 out of 5 stars","+35"
"238","Pierre Strong Jr.",CLE,"RB77","3 out of 5 stars","3 out of 5 stars","-"
"239","Parker Washington",JAC,"WR81","2 out of 5 stars","2 out of 5 stars","-"
"240","Baltimore Ravens",BAL,"DST17","2 out of 5 stars","3 out of 5 stars","-75"
"241","Carson Steele",KC,"RB78","3 out of 5 stars","2 out of 5 stars","+24"
"242","Matt Gay",IND,"K14","4 out of 5 stars","3 out of 5 stars","+16"
"243","Jordan Whittington",LAR,"WR82","3 out of 5 stars","3 out of 5 stars","+68"
"244","Isaiah Likely",BAL,"TE24","3 out of 5 stars","4 out of 5 stars","-64"
"245","Emari Demercado",ARI,"RB79","4 out of 5 stars","5 out of 5 stars","-"
"246","Indianapolis Colts",IND,"DST18","4 out of 5 stars","5 out of 5 stars","+21"
"247","Wil Lutz",DEN,"K15","3 out of 5 stars","2 out of 5 stars","-"
"248","Jeremy McNichols",WAS,"RB80","4 out of 5 stars","4 out of 5 stars","-"
"249","Brandin Cooks",DAL,"WR83","2 out of 5 stars","2 out of 5 stars","-97"
"250","Trey Palmer",TB,"WR84","4 out of 5 stars","3 out of 5 stars","-"
"251","Dalvin Cook",DAL,"RB81","4 out of 5 stars","4 out of 5 stars","-5"
"252","Kenneth Gainwell",PHI,"RB82","5 out of 5 stars","4 out of 5 stars","-22"
"253","Adonai Mitchell",IND,"WR85","3 out of 5 stars","3 out of 5 stars","-108"
"254","Dallas Cowboys",DAL,"DST19","3 out of 5 stars","3 out of 5 stars","-91"
"255","Jamaal Williams",NO,"RB83","4 out of 5 stars","5 out of 5 stars","-33"
"256","Noah Fant",SEA,"TE25","2 out of 5 stars","4 out of 5 stars","-33"
"257","Jake Moody",SF,"K16","3 out of 5 stars","4 out of 5 stars","-85"
"258","Cincinnati Bengals",CIN,"DST20","4 out of 5 stars","5 out of 5 stars","+2"
"259","Daniel Carlson",LV,"K17","5 out of 5 stars","5 out of 5 stars","-27"
"260","Luke McCaffrey",WAS,"WR86","2 out of 5 stars","3 out of 5 stars","-47"
"261","Calvin Austin III",PIT,"WR87","3 out of 5 stars","3 out of 5 stars","+53"
"262","Will Dissly",LAC,"TE26","2 out of 5 stars","2 out of 5 stars","-"
"263","Greg Dortch",ARI,"WR88","3 out of 5 stars","3 out of 5 stars","-32"
"264","Keaton Mitchell",BAL,"RB84","2 out of 5 stars","2 out of 5 stars","-22"
"265","Ja'Lynn Polk",NE,"WR89","4 out of 5 stars","5 out of 5 stars","-98"
